Time,position,speed,result
838,-2.29567663592204,0.0334821518039067,1
839,-2.26610897232984,0.0330907029827365,1
840,-2.23949807509686,0.0324427224077613,0
841,-2.21554826758717,0.0315934309179537,0
842,-2.19399344082845,0.03058957050203,0
843,-2.17459409674561,0.0294705478601116,0
844,-2.15713468707105,0.0282694340415565,0
845,-2.14142121836394,0.0270138375081113,0
846,-2.12727909652755,0.0257266659409396,0
847,-2.11455118687479,0.0244267903121211,0
848,-2.10309606818731,0.0231296231496569,0
849,-2.09278646136858,0.0218476215165643,0
850,-2.08350781523172,0.0205907239785937,0
851,-2.07515703370855,0.0193667297330516,0
852,-2.0676413303377,0.018181627096832,0
853,-2.06087719730393,0.0170398776905257,0
854,-2.00478947757353,0.0209446618945124,0
855,-1.95431052981618,0.0238980904807966,0
856,-1.90887947683456,0.0260513867308787,0
857,-1.86799152915111,0.0275350428261365,0
858,-1.831192376236,0.0284614538350339,0
859,-1.7980731386124,0.0289272322138904,0
860,-1.76826582475116,0.0290152403786254,1
861,-1.74143924227604,0.0287963745882744,1
862,-1.71729531804844,0.0283311295522074,1
863,-1.69556578624359,0.027670969777471,0
864,-1.67600920761923,0.0268595306621598,0
865,-1.65840828685731,0.0259336696721362,0
866,-1.64256745817158,0.0249243855734957,0
867,-1.62831071235442,0.0238576215978619,0
868,-1.56547964111898,0.0277549665616199,1
869,-1.50893167700708,0.0306342663166477,1
870,-1.45803850930637,0.0326601564550537,1
871,-1.41223465837574,0.0339745259026121,1
872,-1.37101119253816,0.0346994198961083,1
873,-1.33391007328435,0.034939589831879,1
874,-1.27046715936032,0.0343114490829403,1
875,-1.27046715936032,0.0343114490829403,1
876,-1.24342044342429,0.0335849757682494,1
877,-1.21907839908186,0.0326606826256674,1
878,-1.19717055917367,0.0315853983539193,1
879,-1.17745350325631,0.0303985641102641,1
880,-1.15970815293068,0.0291332427318007,1
881,-1.14373733763761,0.0278169999879274,1
882,-1.12936360387385,0.0264726733655107,1
883,-1.06642724348646,0.0301190420676981,1
